"userID"	"placeID"	"count"
16	193	13
16	194	4
16	197	1
16	198	3
16	199	2
16	200	11
16	202	2
16	203	1
16	204	15
16	205	6
16	207	1
16	208	1
16	212	18
16	213	3
16	215	1
16	216	8
16	218	3
16	219	2
16	220	1
16	223	1
16	224	5
16	228	2
16	229	1
16	230	2
16	232	1
16	237	1
16	239	2
16	240	3
16	241	2
16	242	1
16	244	3
16	245	1
16	246	1
16	247	1
16	248	1
16	251	1
30	407	1
30	228	1
30	48	6
30	409	1
30	410	19
30	412	5
30	413	1
30	150	1
30	414	3
30	417	3
30	419	1
30	421	1
30	424	1
30	426	1
30	427	1
30	428	1
30	429	7
30	431	1
30	149	1
30	432	1
30	435	1
30	436	1
30	364	1
30	439	1
30	441	1
30	442	2
30	12	1
30	443	1
30	339	1
30	445	3
30	152	1
30	446	1
30	447	1
30	449	1
30	451	1
30	54	2
30	452	1
30	453	1
30	454	1
30	455	1
30	457	1
30	458	1
30	460	1
33	495	1
33	496	77
33	497	1
33	11	1
33	12	2
33	498	2
33	360	2
33	499	10
33	502	3
33	503	1
33	504	2
33	505	1
33	506	1
33	508	1
33	511	3
33	512	2
33	228	1
33	516	1
33	172	1
33	519	1
33	521	1
33	523	2
33	524	1
33	526	1
33	528	1
33	529	1
33	531	1
33	59	1
33	536	5
33	538	2
33	539	1
33	540	1
33	54	2
33	541	1
33	542	1
33	544	1
33	547	1
33	549	1
33	307	1
33	554	1
33	557	1
33	560	1
33	561	1
33	562	1
33	563	1
33	152	1
33	193	1
33	564	1
33	565	1
33	566	1
33	442	1
33	568	1
33	570	1
33	571	1
33	572	1
33	248	1
33	573	1
33	574	1
33	575	1
33	41	1
33	577	1
33	579	1
33	582	1
33	583	1
33	585	1
33	590	1
33	593	1
33	594	1
33	595	5
33	596	1
33	597	1
33	156	1
33	599	1
35	307	40
35	619	5
35	284	1
35	621	1
35	11	3
35	624	1
35	626	28
35	627	1
35	304	3
35	229	3
35	103	3
35	630	1
35	600	2
35	632	2
35	637	1
35	523	1
35	641	1
35	642	1
35	643	1
35	397	1
35	647	1
37	156	11
37	701	5
37	702	4
37	703	2
37	704	2
37	707	1
37	708	2
37	710	2
37	711	1
37	713	3
37	714	1
37	715	1
37	717	1
37	718	1
37	719	2
37	721	3
37	723	4
37	724	3
37	726	1
37	727	2
37	728	1
37	730	1
37	731	1
37	161	2
37	736	2
37	737	2
37	738	1
37	739	1
37	740	1
37	741	1
37	742	1
37	7	1
37	743	1
37	744	1
37	745	1
37	176	2
37	746	1
37	748	1
37	750	2
37	751	1
37	752	1
37	753	2
37	754	1
37	755	1
37	756	1
37	758	1
37	759	1
37	760	1
37	761	3
37	763	3
37	766	2
37	767	1
37	307	2
37	229	1
37	769	1
37	770	1
37	771	1
37	773	1
37	774	1
37	197	1
37	775	1
42	799	8
42	800	1
42	802	2
42	803	1
42	111	1
42	59	1
42	808	2
42	809	12
42	320	1
42	12	1
42	229	1
42	811	4
42	812	2
42	814	1
42	815	1
42	816	4
42	817	1
42	818	1
42	819	1
42	821	11
42	823	2
42	825	2
42	826	1
42	828	1
42	830	5
42	831	1
42	832	5
42	833	1
42	834	1
42	193	1
42	132	1
42	836	1
42	839	1
42	11	1
42	840	1
42	841	1
42	25	1
42	624	1
42	844	1
42	845	1
42	846	1
42	847	1
42	115	1
42	848	1
42	851	1
42	853	1
42	855	1
42	856	1
42	857	1
42	858	1
47	808	7
47	156	7
47	360	2
47	913	3
47	914	1
47	12	2
47	304	1
47	485	1
47	103	1
47	917	1
47	812	1
47	176	3
47	892	1
47	920	1
47	921	7
47	922	1
47	923	1
47	924	1
47	925	2
47	926	1
47	619	1
47	929	2
47	171	2
47	930	4
47	339	1
47	931	1
47	932	1
47	111	4
47	933	1
47	229	1
47	934	1
47	936	1
47	937	1
47	871	1
47	938	1
47	939	4
47	940	1
47	941	1
47	942	1
47	888	2
47	943	1
72	36	30
72	1185	8
72	1186	18
72	104	1
72	1187	1
72	1188	1
72	1189	1
72	1190	4
72	1191	1
72	1192	12
72	111	4
72	728	1
72	7	2
72	1195	1
72	1198	5
72	1199	3
72	11	1
72	8	4
72	171	5
72	766	1
72	360	8
72	485	1
72	12	4
72	1202	1
72	1204	1
72	476	2
72	1205	12
72	103	2
72	1207	1
72	246	3
72	44	2
72	640	1
72	304	2
72	802	1
72	579	2
72	157	1
72	1211	2
72	156	1
72	1215	1
72	150	2
72	754	2
72	176	1
72	1216	1
79	892	7
79	442	3
79	11	36
79	745	26
79	1262	1
79	1264	1
79	1265	1
79	1266	1
79	491	1
79	1267	1
79	1270	4
79	304	1
79	224	5
79	1272	1
79	393	9
79	1277	1
79	1278	2
79	1279	3
79	1280	6
79	73	1
79	1281	1
79	1283	1
79	1284	1
79	1285	1
79	1286	1
79	72	1
79	1291	1
79	1293	1
80	1296	3
80	819	19
80	1298	3
80	344	17
80	1299	3
80	1300	1
80	485	3
80	1301	13
80	161	8
80	1302	3
80	1303	1
80	1304	1
80	1306	2
80	368	1
80	360	3
80	323	2
80	171	3
80	111	4
80	853	1
80	42	2
80	1310	1
80	802	1
80	1313	1
80	1314	3
80	8	1
80	1315	2
80	1316	1
80	1086	2
80	1318	3
80	888	8
80	1320	2
80	1324	2
80	1327	1
80	1329	1
80	246	1
80	1331	1
80	1333	1
80	1335	1
80	1336	1
80	1338	1
80	1339	1
80	1341	3
80	1342	1
80	1343	3
80	1123	2
80	44	1
80	442	3
80	1347	1
80	1348	1
80	1349	1
80	1350	1
80	1352	1
80	1353	1
80	1358	1
80	1360	2
80	220	3
80	1362	1
80	1364	4
80	1365	1
80	1367	1
80	1368	1
80	1369	1
80	1371	1
80	457	1
80	1108	1
80	364	3
80	1376	1
83	1418	26
83	802	2
83	224	1
83	1419	1
83	1420	3
83	79	1
83	323	3
83	1422	2
83	1423	3
83	1424	1
83	1426	1
83	1427	1
83	1428	6
83	1429	1
83	1432	1
83	1434	4
83	36	4
83	1435	10
83	1437	4
83	1441	1
83	1112	4
83	1442	6
83	1443	8
83	360	1
83	812	1
83	1448	1
83	1452	1
83	1453	1
83	808	1
83	11	1
83	1458	1
83	1459	2
83	1460	1
83	1462	1
108	1684	3
108	1685	1
108	8	1
108	1690	1
108	150	1
108	1691	91
108	246	1
108	1692	1
108	1353	1
108	1694	1
108	323	1
108	1695	1
108	11	6
108	1696	8
108	1697	5
108	643	6
108	1698	3
108	1699	1
108	171	1
108	304	1
108	103	3
108	1701	1
108	1702	1
108	1704	1
108	583	1
108	892	1
121	1799	27
121	1800	24
121	1801	25
121	1802	4
121	246	2
121	1803	1
121	1805	1
121	855	2
121	442	1
121	1808	1
121	11	5
121	1809	1
121	8	2
121	36	3
121	274	1
121	1811	1
121	1813	1
121	1814	1
121	361	1
121	171	2
121	892	1
121	1815	1
121	1816	1
126	1824	8
126	1825	11
126	1551	1
126	103	12
126	1827	1
126	1828	9
126	1830	1
126	8	5
126	1832	3
126	301	5
126	1835	3
126	605	1
126	1836	1
126	54	4
126	1123	1
126	1837	4
126	892	2
126	1838	1
126	1841	1
126	1843	3
126	1844	2
126	1845	2
126	1846	1
126	182	1
126	1847	1
126	1848	1
126	871	2
126	1850	1
126	1851	1
133	344	1
133	1930	14
133	442	6
133	1935	7
133	1936	3
133	1938	1
133	54	3
133	1384	2
133	7	1
133	224	4
133	1939	1
133	1940	2
133	1941	1
133	171	3
133	104	3
133	1943	1
133	132	2
133	1945	1
133	208	1
133	1947	1
133	855	2
133	1948	1
133	1950	1
133	1952	1
133	1954	1
133	583	1
133	485	1
133	1958	1
133	1959	1
133	1962	1
133	1964	1
133	1142	2
133	103	5
133	1966	1
133	149	1
133	1967	1
133	1968	1
133	52	1
133	1969	1
133	1970	5
133	892	1
133	1971	6
133	1972	1
133	870	2
133	1973	2
133	1974	1
133	1975	1
133	1480	1
133	766	2
133	1976	1
133	1979	1
133	1742	1
133	1980	1
133	307	1
133	170	1
133	323	1
133	1981	1
133	278	1
137	156	29
137	1204	8
137	871	3
137	2014	18
137	2016	2
137	2017	13
137	2018	1
137	360	2
137	193	2
137	464	1
